No,Food Name,Calorie,Carbohidrat,Fat,Protein,Price
121,"Pala, daging, segar",42,"0,3","0,2","10,9",20000
122,"Pepaya, segar",46,"0,5","12,0","12,2",4000
123,"Pisang ambon, segar",108,"1,0","0,8","24,3",3000
124,"Pisang angleng (pisang ampyang), segar",68,"1,3","0,2","17,2",4000
125,"Pisang ayam, segar",120,"1,1","0,2","26,8",2000
126,"Pisang gapi, segar",127,"2,1","0,3","31,1",3000
127,"Pisang goroho, segar",115,"1,9","0,2","27,9",5000
128,"Pisang hijau, segar",117,"2,0","0,3","28,9",3000
129,"Pisang kayu, segar",100,"1,4","0,5","23,6",4000
130,"Pisang kepok, segar",109,"0,8","0,5","26,3",4000
131,"Pisang ketip, segar",145,"1,1","0,3","34,5",5000
132,"Pisang kidang, segar",96,"1,0","0,2","22,5",4000
133,"Pisang lampung, segar",99,"1,3","0,2","25,6",6000
134,"Pisang mas bali ampenan, segar",92,"1,4","0,2","21,0",7000
135,"Pisang mas bali kopang, segar",127,"1,4","0,2","31,8",8000
136,"Pisang mas, segar",127,"1,4","0,2","33,6",5000
137,"Pisang raja sereh, segar",108,"1,3","0,3","28,2",9000
138,"Pisang raja, segar",120,"1,2","0,2","31,8",10000
139,"Pisang rotan, segar",98,"1,3","1,2","20,5",6000
140,"Pisang talas, segar",113,"1,2","0,2","26,7",7000
141,Pisang tujuh bulan,94,"0,6","0,2","22,5",5000
142,"Pisang ua, segar",128,"0,8","0,5","30,2",6000
143,"Pisang uli, segar",134,"1,1","0,5","35,5",7000
144,"Purut, segar",76,"4,1","1,1","15,2",4000
145,"Rambutan binjai, segar",76,"0,5","0,2","18,0",12000
146,"Rambutan, segar",69,"0,9","0,1","18,1",10000
147,"Salak bali, segar",57,"0,5","0,1","13,6",8000
148,"Salak medan, segar",55,"0,4","0,2","12,8",9000
149,"Salak pondoh, segar",87,"0,8","0,4","20,1",7000
150,"Salak, segar",77,"0,4","0,2","20,9",8000
151,"Sawo duren, segar",64,"1,0","3,1","8,0",10000
152,"Sawo kecik, segar",111,"0,9","2,3","21,6",6000
153,"Sawo Manila, segar",92,"0,5","1,1","22,4",8000
154,"Semangka, segar",28,"0,5","0,2","6,9",5000
155,"Sirsak, segar",65,"1,0","0,3","16,3",7000
156,"Sowa, segar",48,"1,6","0,6","9,1",6000
157,"Srikaya, segar",63,"1,1","0,5","13,9",8000
158,"Sukun muda, segar",119,"1,4","0,2","28,1",6000
159,"Sukun tua, segar",126,"1,6","0,2","24,5",7000
160,"Wani, segar",74,"0,8","0,3","17,1",5000
161,"Mentimun Suri, segar",16,"1,3","0,0","2,1",4000
162,"Susu kambing, segar",64,"4,3","2,3","6,6",15000
163,"Susu kerbau, segar",160,"6,3","12,0","7,1",18000
164,"Susu kuda, segar",40,"2,0","1,1","5,4",16000
165,"Susu sapi, segar",61,"3,2","3,5","4,3",12000
