No,Food Name,Calorie,Carbohidrat,Fat,Protein,Price
114,"Gurame asem manis, masakan",192,13,10,13,"80,000"
115,Pempek adaan,162,5,3,28,"15,000"
116,Pempek belida,156,4,1,32,"25,000"
117,Pempek kapal selam,152,5,2,28,"30,000"
118,Pempek kelesan,211,12,6,27,"20,000"
119,Pempek kulit,243,5,7,39,"18,000"
120,Pempek telur,156,5,3,28,"22,000"
121,Pempek tenggiri,173,7,1,33,"28,000"
122,"Telur ayam, dadar, masakan",251,16,19,1,"3,000"
123,"Telur bebek, dadar, masakan",301,20,24,5,"5,000"
